0hr	2hr	4hr	6hr	8hr	10hr	12hr	14hr	16hr	18hr	20hr	22hr	24hr	dummy	DDB	Biological process	Cellular component	Molecular function
0.5504	0.1340	0.2299	-0.1190	0.0881	0.2004	-0.3361	-0.5108	-0.2155	0.1842	0.2337	0.2381	0.2439	1	DDB0186919	NA	NA	NA
-1.8088	-1.3017	-2.1825	-1.7667	1.0060	0.2889	0.4742	1.5829	0.7139	0.7507	-0.2646	0.6427	-0.3707	5	DDB0186912	NA	NA	NA
0.0595	0.3961	0.3592	0.2915	0.1347	-0.5028	0.0577	-0.2329	-0.5721	-0.7191	0.2723	-0.0428	-0.3175	1	DDB0186917	NA	NA	NA
1.2257	1.4486	0.2586	0.7957	0.0238	-0.6621	-0.3903	-0.5966	-0.8168	-1.1047	-0.1923	-0.5760	0.4071	0	DDB0188751	NA	cytoplasm	aldo-keto reductase activity, oxidoreductase activity
-1.4059	1.3813	1.1184	0.0149	-0.4143	-0.3983	-0.2104	-0.3123	-0.9217	-0.0339	0.0084	0.2793	0.4858	2	DDB0167960	NA	NA	NA
0.0074	-0.9533	0.2174	-0.8727	-1.8689	-0.7960	1.4157	0.6023	0.6203	-0.4335	0.3912	0.0029	-0.1141	3	DDB0186598	regulation of cell cycle, ubiquitin-dependent protein catabolism, cell cycle	spindle	NA
0.4306	-0.1907	-0.2867	0.1544	-0.0600	1.0030	0.0277	-0.2386	-0.2846	-1.2574	-0.0941	0.0124	0.1474	1	DDB0185802	NA	NA	NA
0.2829	0.4089	0.3844	-0.4735	-0.0263	0.4955	-0.0447	0.0642	0.0811	0.3154	-0.0291	0.2274	-0.2890	1	DDB0167953	NA	NA	1-phosphatidylinositol-4-phosphate 5-kinase activity
0.2761	0.0072	0.5173	-0.4194	-0.2094	0.4885	0.9181	0.1122	0.2253	-0.3431	0.2002	0.1080	0.4151	3	DDB0202971	cholesterol biosynthesis, cholesterol metabolism, germ-cell migration, gonad development	membrane fraction, endoplasmic reticulum membrane	NA
1.3028	0.3210	0.3871	0.6635	0.3946	0.9309	-0.0830	-0.4139	-0.5482	0.8685	-0.3925	-0.3281	-0.1779	4	DDB0202972	NA	NA	NA
1.0109	0.8784	0.7469	0.5854	0.2664	0.2531	0.5611	-0.3620	-0.4206	-0.4238	0.5392	-0.8863	-0.4945	4	DDB0189930	NA	NA	protein kinase activity
-0.2842	0.2864	0.4492	0.1804	0.0697	0.2507	-0.2025	-0.2878	-0.1908	-0.1540	-0.0496	-0.3722	0.3575	1	DDB0215164	NA	NA	NA
-0.3128	-0.1579	-0.0523	-0.2368	0.0140	0.1434	-0.0870	0.2858	0.2461	0.3150	0.3005	0.0184	-0.3531	3	DDB0204014	NA	membrane	NA
1.3502	0.5779	1.1544	1.5939	-0.4032	-0.5754	0.3484	-1.4620	-1.0619	-1.5725	0.0513	-0.1098	0.7013	0	DDB0187178	embryonic development, reproduction	NA	NA
0.1822	1.0704	0.6910	0.7518	-0.4381	0.1431	0.0814	-0.5716	0.1505	-0.2040	-0.6473	-0.2690	-0.4626	4	DDB0191195	protein amino acid phosphorylation, sphingolipid metabolism, endocytosis	plasma membrane, cytosol, bud neck	protein serine/threonine kinase activity
-0.8512	-1.2342	-0.0972	-1.1524	0.2646	-0.3358	0.5028	0.3299	0.4562	1.3034	0.3363	0.3666	-0.5161	6	DDB0204013	NA	NA	pseudouridylate synthase activity
1.8848	1.5931	1.4945	1.3172	0.1981	-0.2232	0.4830	-0.8428	-1.3943	-0.9827	-0.6260	-1.4636	0.2776	0	DDB0167398	NA	NA	NA
0.2044	-0.0549	-0.1180	-0.5911	0.2904	0.2138	0.8685	0.4922	0.3543	-0.6824	0.3262	0.7235	0.2760	3	DDB0187886	NA	NA	NA
-0.1668	-0.2663	-0.2914	-0.7955	-0.4998	-0.1613	0.6597	0.0943	-0.2223	0.1560	0.5983	0.8720	0.2737	3	DDB0192057	NA	NA	NA
1.3625	0.7292	1.1237	0.5487	-0.1339	-0.4553	-0.3866	-0.4086	-0.5991	-0.3565	-0.2941	-0.5042	0.4410	0	DDB0205380	NA	NA	NA
-0.6924	0.3488	-0.4812	-0.3112	-0.4237	-0.4112	-0.5719	0.5401	-0.0658	0.4159	0.2227	0.7288	0.1615	2	DDB0169296	NA	NA	NA
0.0168	0.9943	-1.5344	-0.3040	0.8590	0.0186	-0.3681	0.1064	0.0580	0.1292	0.0255	-0.5211	-0.7578	1	DDB0191506	NA	NA	NA
1.5367	1.5257	1.8626	0.9294	-0.0899	-0.9866	-1.0063	-1.0926	-1.3875	-1.4325	-0.5047	-0.7934	0.2760	0	DDB0215256	NA	NA	NA
-0.9549	-1.0376	-0.7372	-0.5870	0.2580	-0.1828	-0.1970	0.5410	0.0959	1.0242	0.1314	0.3068	0.4403	6	DDB0191503	NA	NA	GTP binding
0.0904	0.1693	0.1017	-0.9919	0.0867	0.2388	0.5609	0.6669	0.1648	0.3819	-0.8321	-0.6939	-0.5881	1	DDB0189806	NA	NA	protein serine/threonine kinase activity
-1.2122	-0.4322	-0.6432	-0.0517	0.6486	-0.0994	-0.3109	0.3978	0.2499	0.3224	-0.2058	0.2623	0.4448	3	DDB0188533	NA	NA	NA
-0.3029	-0.1166	0.1468	-0.1948	-0.2262	0.3978	-0.5320	0.3743	0.3354	0.5309	0.3648	0.5652	0.1057	3	DDB0203430	NA	NA	NA
-0.1412	-0.2122	0.7677	-1.1285	0.4254	-0.8224	0.1864	-0.3485	0.7098	0.4836	-0.4910	0.1468	-0.2993	3	DDB0191430	multidrug transport	NA	multidrug efflux pump activity
-0.9608	-1.3383	-0.7912	-0.8033	-0.3079	-0.4787	0.5703	0.4942	1.7323	0.8580	0.2116	0.0535	0.2183	6	DDB0191431	NA	NA	NA
0.4810	-0.2500	-0.5426	0.1330	0.6311	0.6024	0.3919	-0.2539	0.5551	-0.4667	0.2609	-0.0911	-0.1779	3	DDB0191435	proteolysis and peptidolysis	proteasome regulatory particle (sensu Eukarya)	endopeptidase activity
1.6415	0.2754	-0.0063	0.2571	0.6477	1.2284	-0.0678	-0.6412	-0.8706	-0.4969	-0.5639	-0.6643	0.0707	4	DDB0169400	NA	NA	NA
-1.1820	-1.1905	-2.5758	-1.0992	-0.1733	0.0905	-0.7243	0.1663	-0.1732	0.9981	-0.4278	0.7095	-1.0962	6	DDB0205494	NA	NA	NA
-0.6054	-1.0984	-0.7093	0.3312	1.3344	1.3005	-0.3360	-0.0283	-0.1119	0.2655	-1.1615	-1.0159	-1.3985	1	DDB0190743	NA	NA	RNA binding
0.9287	0.3390	0.2268	0.9899	-0.0533	0.4366	-0.6710	-0.4985	0.0462	0.0144	-0.4672	-0.4606	0.4096	4	DDB0190212	NA	NA	NA
-0.0820	-0.1508	0.1347	-0.2124	-0.0783	-0.2283	-0.0276	0.3216	0.0431	-0.3613	0.4229	0.1075	0.2664	3	DDB0191345	protein amino acid phosphorylation	NA	ATP binding, protein kinase activity, protein serine/threonine kinase activity, protein-tyrosine kinase activity
0.5749	1.1112	1.4302	0.0395	-0.7468	-0.0852	-0.2985	-0.1790	-0.6507	-0.1781	0.1708	0.0405	0.3797	0	DDB0187228	NA	NA	NA
0.2541	0.2332	0.8412	0.1318	-0.3847	0.2093	0.1008	-0.2860	-0.1926	0.0192	-0.3577	-0.4326	0.3913	4	DDB0191187	intracellular signaling cascade, small GTPase mediated signal transduction, chemotaxis	cellular_component unknown	guanylate cyclase activator activity, Ras guanyl-nucleotide exchange factor activity, guanyl-nucleotide exchange factor activity
-1.1339	-0.2533	-0.6316	-0.4469	0.0999	-0.1325	0.0749	0.1700	0.1081	0.5021	0.0076	-0.3393	0.3860	3	DDB0214950	NA	NA	NA
-3.7543	-2.5219	-2.6952	-3.0450	0.2622	-1.0008	-0.0141	0.5843	-0.3598	0.2552	1.4986	3.3859	0.2441	5	DDB0206043	NA	NA	NA
-1.1059	-1.3254	-0.9433	-0.3981	0.2550	0.0340	-0.1391	0.2930	0.5333	0.5988	-0.3189	0.3216	-0.3134	6	DDB0201575	NA	NA	NA
0.5943	0.6550	0.0989	0.0154	-0.1678	-0.4046	-0.1825	-0.1377	-0.0677	0.0495	-0.1761	-0.6804	-0.4925	1	DDB0190102	response to stress	NA	NA
0.5728	0.8962	0.3633	1.1713	1.1361	0.3166	0.6043	-0.5581	-0.7828	-0.8331	-0.4880	-0.9991	-0.5277	4	DDB0191769	NA	NA	NA
-0.2734	-0.2396	-1.3690	-3.5073	0.3070	-2.0022	-0.2124	-1.5053	-0.7480	-2.1474	-1.6784	-1.0476	1.4145	1	DDB0206093	NA	NA	NA
0.6812	-0.2407	0.6507	1.1620	0.5504	0.1957	0.4916	-0.0549	-0.0591	0.1277	-0.1698	-0.2981	0.2742	4	DDB0202509	NA	NA	DNA binding
-1.2811	-0.7694	-1.1400	-0.6889	0.3310	-1.3448	-0.1012	0.3709	0.3239	0.3646	0.1926	1.5534	0.1218	6	DDB0202517	NA	NA	NA
0.8495	0.2174	-0.8688	0.1037	0.1605	0.0844	-0.0236	-0.3978	0.2724	-0.2131	-0.2319	-0.1498	0.7609	4	DDB0202577	NA	NA	nucleic acid binding
-0.1403	0.0858	0.2731	-0.0718	0.1353	0.7671	0.2511	0.3206	0.1353	-0.4466	0.1257	-0.0355	0.3020	3	DDB0188032	NA	NA	NA
-1.2811	-0.7694	-1.1400	-0.6889	0.3310	-1.3448	-0.1012	0.3709	0.3239	0.3646	0.1926	1.5534	0.1218	6	DDB0167354	NA	nucleus	DNA binding
-0.0407	-0.9867	-0.6783	0.0762	0.2669	0.4850	0.0808	0.4697	0.1156	-0.2224	0.0033	-0.0214	-0.1835	3	DDB0203362	NA	NA	NA
-1.0648	-1.4165	-1.6293	-1.3194	-0.4932	-0.9935	0.6339	0.4535	1.3702	1.4239	0.2694	0.6348	0.2363	6	DDB0203363	NA	NA	NA
-0.5573	0.3232	-1.4647	0.2782	0.6443	-0.1386	-0.8255	-0.0991	-0.3699	-0.2934	1.1754	0.5585	-0.3114	2	DDB0184035	NA	NA	NA
-0.0203	0.5166	-0.2151	0.3158	0.0804	-0.7128	0.4145	-0.2454	-0.8870	-0.5559	-0.1289	-0.3941	0.0000	1	DDB0201711	NA	NA	NA
-0.1077	-0.1521	-0.1802	-0.3952	-0.1332	0.2260	0.1647	0.2556	0.7685	0.1599	0.7034	0.1771	0.0210	3	DDB0204843	NA	NA	NA
0.6453	0.4912	0.2188	0.3237	0.0963	0.0158	-0.4929	-0.1838	-0.4584	-0.4380	0.0765	0.2060	0.3318	2	DDB0166992	NA	NA	NA
0.8437	-0.4963	-0.5562	0.1408	0.1547	-0.0296	0.2836	-0.2599	-0.9649	-0.6163	-0.6133	0.1378	0.3047	1	DDB0184456	NA	NA	NA
0.1278	-0.2053	-0.0459	-0.1631	-0.0121	0.5264	0.3292	0.5521	0.2712	0.1750	-0.3439	-0.0709	-0.0445	3	DDB0185492	NA	NA	NA
0.3744	0.1585	0.0998	-0.1045	0.1697	0.4768	0.0925	-0.2107	0.4083	0.0902	0.0914	-0.3092	-0.3730	1	DDB0185496	transport, negative regulation of adenylate cyclase activity	NA	heterotrimeric G-protein GTPase activity
0.6731	-0.0566	0.0184	0.3731	0.0370	0.2526	0.0838	0.0850	-0.0922	0.0186	-0.2843	-0.2627	-0.0624	1	DDB0168243	NA	NA	DNA binding
-0.3153	-0.7461	-0.1695	-0.8262	1.1040	0.5222	0.4714	0.6108	0.6119	0.3836	0.5900	0.0699	0.0508	6	DDB0168937	NA	NA	NA
-0.7735	-0.8206	-1.1818	-1.3644	-0.5011	-0.3779	0.8343	0.5675	1.3114	3.3257	0.5556	0.7478	-0.8299	5	DDB0203949	NA	NA	NA
-1.1747	-1.1112	-1.2279	-0.5457	0.1094	0.9776	0.3238	0.8616	0.8840	0.2508	0.3165	-0.0774	-0.3976	6	DDB0167175	NA	NA	NA
1.2260	1.0475	1.3826	0.6708	-0.3079	0.2059	0.1244	-0.7397	-0.4801	-0.4759	0.1982	-0.5324	-0.1460	0	DDB0189789	NA	NA	NA
-1.7678	-1.5885	-2.1399	-2.1571	0.6638	0.8588	0.2292	1.5611	0.4295	1.6071	-0.0109	0.7665	-1.3673	5	DDB0205122	NA	NA	NA
0.3661	0.8907	0.0367	0.3101	0.1428	0.1767	-0.2940	-0.2332	-1.0048	-0.2092	-0.3251	-0.1248	-0.1118	1	DDB0189079	NA	NA	NA
1.2463	0.9702	1.6407	1.4986	-0.0447	-0.4813	-0.3177	-0.5806	-1.0190	-0.7556	-0.6318	-0.6049	0.5436	0	DDB0185202	embryonic development, reproduction	NA	NA
