gene	t-test	component name
GUSB	<=0.00	hydrolase activity
HARS	>0.00	tRNA aminoacylation for protein translation
HCK	<=0.00	protein binding
HDAC2	>0.00	protein binding
HEXA	<=0.00	ganglioside catabolic process
HFE	<=0.00	cellular iron ion homeostasis
HK3	<=0.00	hatching
HMGB1	>0.00	protein binding
HOXA9	<=0.00	protein binding
HSPA5	<=0.00	intracellular signaling cascade
ICAM1	<=0.00	protein binding
ICAM2	>0.00	protein binding
ICAM3	<=0.00	protein binding
ID3	>0.00	cellular biopolymer metabolic process
IFI16	>0.00	protein binding
IGBP1	>0.00	post-translational protein modification
IL13RA1	<=0.00	signal transducer activity
ILF2	>0.00	protein binding
IRS1	>0.00	negative regulation of cellular process
ITGA4	>0.00	protein binding
ITGAM	<=0.00	protein binding
ITGAX	<=0.00	protein binding
ITGB2	<=0.00	protein binding
JUNB	<=0.00	protein binding
JUP	>0.00	Wnt receptor signaling pathway
LBR	>0.00	protein binding
LMNA	<=0.00	protein binding
LMNB1	>0.00	protein binding
MAPKAPK3	<=0.00	cellular biopolymer metabolic process
MAX	>0.00	protein binding
MCL1	<=0.00	protein binding
MCM2	>0.00	protein binding
MCM3	>0.00	protein binding
MCM6	>0.00	protein binding
MCM7	>0.00	protein binding
MEF2A	>0.00	protein binding
MEF2C	>0.00	protein binding
MITF	<=0.00	protein binding
MKI67	>0.00	protein binding
MMP2	<=0.00	collagen binding
MSH2	>0.00	protein binding
MSH6	>0.00	protein binding
MT1A	<=0.00	zinc ion binding
MT1B	<=0.00	zinc ion binding
MT2A	<=0.00	zinc ion binding
MYL1	>0.00	muscle contraction
NCF2	<=0.00	superoxide-generating NADPH oxidase activity
NCL	>0.00	protein binding
NEUROD2	<=0.00	protein binding
NFE2L1	>0.00	protein binding
NFKB1	<=0.00	protein binding
NFKB2	<=0.00	protein binding
NFKBIA	<=0.00	protein binding
NPM1	>0.00	protein binding
NR3C1	>0.00	protein binding
NRIP1	>0.00	protein binding
NUCB1	<=0.00	protein binding
P4HB	<=0.00	collagen binding
PAFAH1B1	>0.00	lipid catabolic process
PAFAH1B3	>0.00	lipid catabolic process
PARP1	>0.00	protein binding
PAX6	<=0.00	protein binding
PCNA	>0.00	protein binding
PHB	>0.00	protein binding
PIK3R2	<=0.00	negative regulation of cellular process
PIM1	<=0.00	protein binding
PKN1	<=0.00	protein binding
PLAUR	<=0.00	protein binding
PLEC1	<=0.00	actin binding
POLD2	>0.00	protein binding
PPBP	<=0.00	defense response to bacterium
PPP1CC	>0.00	post-translational protein modification
PPP2CA	>0.00	post-translational protein modification
PRKCI	>0.00	anti-apoptosis
PRKDC	>0.00	protein binding
PSAP	<=0.00	autophagic vacuole formation
PSMA2	>0.00	threonine-type peptidase activity
PSMA6	>0.00	threonine-type peptidase activity
PSME1	>0.00	proteasome activator activity
PSME2	>0.00	proteasome activator activity
PTGS2	<=0.00	protein binding
PTMA	>0.00	protein binding
PTPN1	<=0.00	negative regulation of cellular process
RAG1	>0.00	V(D)J recombination
RAG2	>0.00	V(D)J recombination
RARA	<=0.00	protein binding
RB1	>0.00	protein binding
RBBP4	>0.00	protein binding
RBL2	>0.00	DNA binding
REL	<=0.00	protein binding
RELB	<=0.00	protein binding
RIPK1	<=0.00	positive regulation of I-kappaB kinase/NF-kappaB cascade
RPA1	>0.00	protein binding
RPSA	>0.00	protein binding
S100A10	<=0.00	protein binding
S100A11	<=0.00	regulation of cell proliferation
S100A8	<=0.00	inflammatory response
S100A9	<=0.00	inflammatory response
SDCBP	<=0.00	signal transduction
SHC1	<=0.00	protein kinase cascade
SMAD4	>0.00	protein binding
SMARCA4	>0.00	protein binding
SNRPE	>0.00	spliceosomal snRNP assembly
SNRPF	>0.00	spliceosomal snRNP assembly
SOX4	>0.00	signal transduction
SP3	>0.00	protein binding
SPARC	<=0.00	collagen binding
SPI1	<=0.00	protein binding
SPIB	>0.00	protein binding
SPTAN1	>0.00	actin binding
SQSTM1	<=0.00	anti-apoptosis
STAT3	<=0.00	protein binding
STMN1	>0.00	intracellular signaling cascade
STXBP2	<=0.00	vesicle-mediated transport
SUMO1	>0.00	protein binding
TARS	>0.00	tRNA aminoacylation for protein translation
TAX1BP3	>0.00	Wnt receptor signaling pathway
TCF12	>0.00	cellular biopolymer metabolic process
TCF3	>0.00	cellular biopolymer metabolic process
TCF4	>0.00	cellular biopolymer metabolic process
TCL1A	>0.00	negative regulation of cellular process
TDG	>0.00	protein binding
TERF2	>0.00	protein binding
TFRC	<=0.00	cellular iron ion homeostasis
TGFB1	<=0.00	collagen binding
TGFBI	<=0.00	collagen binding
THBS1	<=0.00	collagen binding
TIMP2	<=0.00	collagen binding
TLE1	>0.00	protein binding
TMPO	>0.00	protein binding
TOP2B	>0.00	protein binding
TP53	>0.00	protein binding
TSN	>0.00	sequence-specific DNA binding
TSNAX	>0.00	sequence-specific DNA binding
TYK2	<=0.00	signal transducer activity
UBTF	>0.00	protein binding
VAMP2	>0.00	vesicle-mediated transport
VASP	<=0.00	protein binding
VIM	<=0.00	protein binding
XRCC6	>0.00	protein binding
ZAP70	>0.00	protein kinase cascade
ZYX	<=0.00	protein binding
