name	index	v_type	size
cak1	l1_328	1	1
dhcA	l1_329	1	1
fscF	l1_330	1	1
geneDDB0229989	l1_331	1	1
geneDDB0229987	l1_332	1	1
carA-1	l1_333	1	1
pats1	l1_334	1	1
1-Phosphatidylinositol 3-Kinase	l2_1	2	5.189814
Actins	l2_2	2	5.188629
Adenylate Cyclase	l2_3	2	1.000000
Base Sequence	l2_4	2	1.000000
Binding Sites	l2_5	2	1.000000
Calcium	l2_6	2	3.143172
Calcium-Calmodulin-Dependent Protein Kinases	l2_7	2	3.921599
Carrier Proteins	l2_8	2	3.468297
Cell Adhesion	l2_9	2	1.000000
Cell Differentiation	l2_10	2	4.702640
Cell Membrane	l2_11	2	1.000000
Cell Movement	l2_12	2	1.000000
Cell Polarity	l2_13	2	5.130265
Chemotaxis	l2_14	2	4.569453
Cloning, Molecular	l2_15	2	1.000000
Cyclic AMP	l2_16	2	4.120073
Cyclic AMP-Dependent Protein Kinases	l2_17	2	3.491131
Cytoskeleton	l2_18	2	1.000000
DNA, Fungal	l2_19	2	1.000000
DNA, Mitochondrial	l2_20	2	7.127921
Enzyme Activation	l2_21	2	2.388106
Fungal Proteins	l2_22	2	1.000000
GTP-Binding Proteins	l2_23	2	5.868619
Gene Expression Regulation	l2_24	2	1.000000
Gene Expression Regulation, Developmental	l2_25	2	2.485423
Gene Expression Regulation, Fungal	l2_26	2	1.000000
Genes, Fungal	l2_27	2	1.000000
Genes, Protozoan	l2_28	2	1.000000
Green Fluorescent Proteins	l2_29	2	7.562143
Hexanones	l2_30	2	4.988648
Humans	l2_31	2	1.000000
Microfilament Proteins	l2_32	2	6.288647
Morphogenesis	l2_33	2	1.000000
Mutation	l2_34	2	1.000000
Myosins	l2_35	2	3.791725
Phenotype	l2_36	2	1.000000
Phosphorylation	l2_37	2	4.045069
Phylogeny	l2_38	2	9.571184
Promoter Regions (Genetics)	l2_39	2	1.000000
Protein Binding	l2_40	2	1.000000
Protein Kinases	l2_41	2	7.079732
Protein Structure, Tertiary	l2_42	2	1.000000
Protozoan Proteins	l2_43	2	1.000000
RNA, Messenger	l2_44	2	1.000000
Receptors, Cyclic AMP	l2_45	2	10.745483
Recombinant Fusion Proteins	l2_46	2	1.000000
Sequence Homology, Amino Acid	l2_47	2	1.000000
Signal Transduction	l2_48	2	2.805277
Spores, Fungal	l2_49	2	1.000000
Transcription, Genetic	l2_50	2	1.000000
ras Proteins	l2_51	2	4.179502
