gene	genesets	t-test	no. of genesets	component name
PRKACG	NFATPATHWAY, SHHPATHWAY, AGPCRPATHWAY, HSA04540_GAP_JUNCTION, HSA04742_TASTE_TRANSDUCTION, AMIPATHWAY, CREBPATHWAY, GATA3PATHWAY, HSA04010_MAPK_SIGNALING_PATHWAY, HSA04916_MELANOGENESIS, HSA04310_WNT_SIGNALING_PATHWAY, CFTRPATHWAY, CHREBPPATHWAY, AKAPCENTROSOMEPATHWAY, HSA04210_APOPTOSIS, PLCEPATHWAY, HSA04340_HEDGEHOG_SIGNALING_PATHWAY, PPARAPATHWAY, MCALPAINPATHWAY, HSA04020_CALCIUM_SIGNALING_PATHWAY, CARM1PATHWAY, DREAMPATHWAY, PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, GPCRPATHWAY, HSA04740_OLFACTORY_TRANSDUCTION, NOS1PATHWAY, CSKPATHWAY, BADPATHWAY, HSA04720_LONG_TERM_POTENTIATION, AKAP13PATHWAY, MPRPATHWAY, CK1PATHWAY, HSA04910_INSULIN_SIGNALING_PATHWAY, HSA04912_GNRH_SIGNALING_PATHWAY, NO1PATHWAY, G_PROTEIN_SIGNALING, VIPPATHWAY	<=0.00	37	activation of protein kinase A activity
NPR1	PURINE_METABOLISM, HSA00230_PURINE_METABOLISM, HSA04540_GAP_JUNCTION, HSA04730_LONG_TERM_DEPRESSION	>0.00	4	guanylate cyclase activity
CSF3R	HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION, HSA04640_HEMATOPOIETIC_CELL_LINEAGE, HSA04630_JAK_STAT_SIGNALING_PATHWAY	<=0.00	3	cytokine receptor activity
PTGDS	HSA00590_ARACHIDONIC_ACID_METABOLISM, EICOSANOID_SYNTHESIS, PROSTAGLANDIN_SYNTHESIS_REGULATION, PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM	<=0.00	4	prostanoid biosynthetic process
ACP1	HSA00361_GAMMA_HEXACHLOROCYCLOHEXANE_DEGRADATION, HSA04520_ADHERENS_JUNCTION, HSA00740_RIBOFLAVIN_METABOLISM, RIBOFLAVIN_METABOLISM, GAMMA_HEXACHLOROCYCLOHEXANE_DEGRADATION	>0.00	5	acid phosphatase activity
ACPP	HSA00361_GAMMA_HEXACHLOROCYCLOHEXANE_DEGRADATION, HSA00740_RIBOFLAVIN_METABOLISM, RIBOFLAVIN_METABOLISM, GAMMA_HEXACHLOROCYCLOHEXANE_DEGRADATION	<=0.00	4	acid phosphatase activity
EIF2S1	VEGFPATHWAY, RNAPATHWAY, EIF2PATHWAY, IGF1MTORPATHWAY, CHEMICALPATHWAY, TRANSLATION_FACTORS	>0.00	6	translation initiation factor activity
EIF2S2	VEGFPATHWAY, RNAPATHWAY, IGF1MTORPATHWAY, TRANSLATION_FACTORS, EIF2PATHWAY	>0.00	5	translation initiation factor activity
ATP6V1B2	FLAGELLAR_ASSEMBLY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, TYPE_III_SECRETION_SYSTEM, HSA00190_OXIDATIVE_PHOSPHORYLATION, OXIDATIVE_PHOSPHORYLATION, ATP_SYNTHESIS, PHOTOSYNTHESIS	<=0.00	7	energy coupled proton transport, down electrochemical gradient
PGD	PENTOSE_PHOSPHATE_PATHWAY, HSA00030_PENTOSE_PHOSPHATE_PATHWAY, GLUTATHIONE_METABOLISM	<=0.00	3	pentose-phosphate shunt, oxidative branch
C3AR1	GPCRDB_CLASS_A_RHODOPSIN_LIKE, HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION, PEPTIDE_GPCRS, HSA04610_COMPLEMENT_AND_COAGULATION_CASCADES	<=0.00	4	peptide receptor activity, G-protein coupled
PPP3CC	HSA04370_VEGF_SIGNALING_PATHWAY, NFATPATHWAY, HSA04360_AXON_GUIDANCE, NOS1PATHWAY, FMLPPATHWAY, GPCRPATHWAY, NDKDYNAMINPATHWAY, FCER1PATHWAY, CALCINEURIN_NF_AT_SIGNALING, SIG_BCR_SIGNALING_PATHWAY, HSA04010_MAPK_SIGNALING_PATHWAY, HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY, MEF2DPATHWAY, BCRPATHWAY, HSA04310_WNT_SIGNALING_PATHWAY, TCRPATHWAY, CALCINEURINPATHWAY, HSA04210_APOPTOSIS, HSA04720_LONG_TERM_POTENTIATION, HSA04650_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY, G_PROTEIN_SIGNALING, HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY, VIPPATHWAY, HSA04020_CALCIUM_SIGNALING_PATHWAY, PGC1APATHWAY, HDACPATHWAY	>0.00	26	calmodulin binding
IDI1	TERPENOID_BIOSYNTHESIS, CIRCADIAN_EXERCISE, HSA00100_BIOSYNTHESIS_OF_STEROIDS, CHOLESTEROL_BIOSYNTHESIS, BIOSYNTHESIS_OF_STEROIDS, HSA00900_TERPENOID_BIOSYNTHESIS	>0.00	6	isoprenoid biosynthetic process
FADD	HIVNEFPATHWAY, APOPTOSIS, HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY, SODDPATHWAY, ST_FAS_SIGNALING_PATHWAY, HSA04210_APOPTOSIS, RELAPATHWAY, ST_TUMOR_NECROSIS_FACTOR_PATHWAY, TNFR1PATHWAY, FASPATHWAY, APOPTOSIS_GENMAPP, CERAMIDEPATHWAY, DEATHPATHWAY, NFKBPATHWAY, APOPTOSIS_KEGG	>0.00	15	necrotic cell death
NFKB1	GCRPATHWAY, IL1RPATHWAY, ST_GA13_PATHWAY, ST_FAS_SIGNALING_PATHWAY, CARDIACEGFPATHWAY, HIVNEFPATHWAY, HCMVPATHWAY, CXCR4PATHWAY, CD40PATHWAY, CDMACPATHWAY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, HSA04010_MAPK_SIGNALING_PATHWAY, HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY, ST_T_CELL_SIGNAL_TRANSDUCTION, TCRPATHWAY, MAPKPATHWAY, APOPTOSIS_KEGG, HSA04920_ADIPOCYTOKINE_SIGNALING_PATHWAY, AKTPATHWAY, ST_P38_MAPK_PATHWAY, NTHIPATHWAY, HSA05222_SMALL_CELL_LUNG_CANCER, HSA04210_APOPTOSIS, RNAPATHWAY, ATMPATHWAY, CERAMIDEPATHWAY, ST_ERK1_ERK2_MAPK_PATHWAY, KERATINOCYTEPATHWAY, DEATHPATHWAY, HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY, TIDPATHWAY, HSA05221_ACUTE_MYELOID_LEUKEMIA, ST_B_CELL_ANTIGEN_RECEPTOR, FMLPPATHWAY, GSK3PATHWAY, RASPATHWAY, HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY, HSA05220_CHRONIC_MYELOID_LEUKEMIA, RANKLPATHWAY, RELAPATHWAY, FREEPATHWAY, APOPTOSIS_GENMAPP, STRESSPATHWAY, NFKBPATHWAY, RACCYCDPATHWAY, PKCPATHWAY, SMOOTH_MUSCLE_CONTRACTION, TOLLPATHWAY, HSA05215_PROSTATE_CANCER, TNFR2PATHWAY, EPONFKBPATHWAY, SIG_CD40PATHWAYMAP, ST_TUMOR_NECROSIS_FACTOR_PATHWAY, ST_GAQ_PATHWAY, APOPTOSIS, HSA05212_PANCREATIC_CANCER, VIPPATHWAY, TALL1PATHWAY, 41BBPATHWAY	<=0.00	59	regulation of sterol transport
ARPC1B	CDC42RACPATHWAY, ACTINYPATHWAY, HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON, SALMONELLAPATHWAY, RHOPATHWAY	<=0.00	5	regulation of actin filament polymerization
PPP3CB	HSA04370_VEGF_SIGNALING_PATHWAY, NFATPATHWAY, HSA04360_AXON_GUIDANCE, NOS1PATHWAY, FMLPPATHWAY, GPCRPATHWAY, NDKDYNAMINPATHWAY, FCER1PATHWAY, CALCINEURIN_NF_AT_SIGNALING, SIG_BCR_SIGNALING_PATHWAY, HSA04010_MAPK_SIGNALING_PATHWAY, HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY, MEF2DPATHWAY, BCRPATHWAY, HSA04310_WNT_SIGNALING_PATHWAY, TCRPATHWAY, CALCINEURINPATHWAY, HSA04210_APOPTOSIS, HSA04720_LONG_TERM_POTENTIATION, HSA04650_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY, HDACPATHWAY, HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY, VIPPATHWAY, HSA04020_CALCIUM_SIGNALING_PATHWAY, PGC1APATHWAY	>0.00	25	calmodulin binding
LMNA	CASPASEPATHWAY, TNFR1PATHWAY, FASPATHWAY, HSA01430_CELL_COMMUNICATION, HIVNEFPATHWAY, DEATHPATHWAY	<=0.00	6	structural molecule activity
TBXAS1	HSA00590_ARACHIDONIC_ACID_METABOLISM, EICOSANOID_SYNTHESIS, PROSTAGLANDIN_SYNTHESIS_REGULATION, PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM, SPPAPATHWAY	<=0.00	5	prostanoid biosynthetic process
DDOST	HSA01030_GLYCAN_STRUCTURES_BIOSYNTHESIS_1, HSA00510_N_GLYCAN_BIOSYNTHESIS, N_GLYCAN_BIOSYNTHESIS	<=0.00	3	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
MCM7	G1_TO_S_CELL_CYCLE_REACTOME, DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, HSA04110_CELL_CYCLE	>0.00	4	DNA replication
MCM6	G1_TO_S_CELL_CYCLE_REACTOME, DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, HSA04110_CELL_CYCLE	>0.00	4	DNA replication
DGKA	GLYCEROLIPID_METABOLISM, PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, HSA00561_GLYCEROLIPID_METABOLISM, HSA04070_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, GLYCEROPHOSPHOLIPID_METABOLISM, HSA00564_GLYCEROPHOSPHOLIPID_METABOLISM, ST_DICTYOSTELIUM_DISCOIDEUM_CAMP_CHEMOTAXIS_PATHWAY	>0.00	7	diacylglycerol kinase activity
DGKD	GLYCEROLIPID_METABOLISM, PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, HSA00561_GLYCEROLIPID_METABOLISM, HSA04070_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, GLYCEROPHOSPHOLIPID_METABOLISM, HSA00564_GLYCEROPHOSPHOLIPID_METABOLISM	>0.00	6	diacylglycerol kinase activity
GNS	HSA00531_GLYCOSAMINOGLYCAN_DEGRADATION, GLYCOSAMINOGLYCAN_DEGRADATION, HSA01032_GLYCAN_STRUCTURES_DEGRADATION	<=0.00	3	sulfuric ester hydrolase activity
PRKAR2B	NFATPATHWAY, SHHPATHWAY, AGPCRPATHWAY, DREAMPATHWAY, PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM, AMIPATHWAY, GPCRPATHWAY, CFTRPATHWAY, HSA04910_INSULIN_SIGNALING_PATHWAY, CREBPATHWAY, HSA04210_APOPTOSIS, NOS1PATHWAY, CSKPATHWAY, BADPATHWAY, AKAP13PATHWAY, CK1PATHWAY, CALCIUM_REGULATION_IN_CARDIAC_CELLS, MPRPATHWAY, CHREBPPATHWAY, MCALPAINPATHWAY, AKAPCENTROSOMEPATHWAY, GATA3PATHWAY, PLCEPATHWAY, NO1PATHWAY, G_PROTEIN_SIGNALING, PPARAPATHWAY, VIPPATHWAY, SMOOTH_MUSCLE_CONTRACTION, CARM1PATHWAY	<=0.00	29	activation of protein kinase A activity
MCM3	G1_TO_S_CELL_CYCLE_REACTOME, DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, HSA04110_CELL_CYCLE	>0.00	4	DNA replication
MCM2	G1_TO_S_CELL_CYCLE_REACTOME, DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, HSA04110_CELL_CYCLE	>0.00	4	DNA replication
ATP6AP1	FLAGELLAR_ASSEMBLY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, TYPE_III_SECRETION_SYSTEM, HSA00190_OXIDATIVE_PHOSPHORYLATION, OXIDATIVE_PHOSPHORYLATION, ATP_SYNTHESIS, PHOTOSYNTHESIS	<=0.00	7	energy coupled proton transport, down electrochemical gradient
GUCY1B3	PURINE_METABOLISM, HSA00230_PURINE_METABOLISM, HSA04540_GAP_JUNCTION, HSA04730_LONG_TERM_DEPRESSION	>0.00	4	guanylate cyclase activity
FDPS	HSA00100_BIOSYNTHESIS_OF_STEROIDS, TERPENOID_BIOSYNTHESIS, BIOSYNTHESIS_OF_STEROIDS, HSA00900_TERPENOID_BIOSYNTHESIS, CHOLESTEROL_BIOSYNTHESIS	>0.00	5	isoprenoid biosynthetic process
LMNB1	CASPASEPATHWAY, HIVNEFPATHWAY, TNFR1PATHWAY, FASPATHWAY, HSA01430_CELL_COMMUNICATION	>0.00	5	structural molecule activity
DARS	HSA00970_AMINOACYL_TRNA_BIOSYNTHESIS, ALANINE_AND_ASPARTATE_METABOLISM, HSA00252_ALANINE_AND_ASPARTATE_METABOLISM, AMINOACYL_TRNA_BIOSYNTHESIS	>0.00	4	tRNA aminoacylation for protein translation
IL7R	HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION, HSA04640_HEMATOPOIETIC_CELL_LINEAGE, HSA04630_JAK_STAT_SIGNALING_PATHWAY, IL7PATHWAY	>0.00	4	cytokine receptor activity
ME3	CARBON_FIXATION, PYRUVATE_METABOLISM, HSA00620_PYRUVATE_METABOLISM, HSA00710_CARBON_FIXATION	>0.00	4	malic enzyme activity
ME2	CARBON_FIXATION, HSA00620_PYRUVATE_METABOLISM, PYRUVATE_METABOLISM	>0.00	3	malic enzyme activity
NFKBIA	IL1RPATHWAY, ST_GA13_PATHWAY, ST_FAS_SIGNALING_PATHWAY, HIVNEFPATHWAY, CD40PATHWAY, CDMACPATHWAY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, HSA04662_B_CELL_RECEPTOR_SIGNALING_PATHWAY, ST_T_CELL_SIGNAL_TRANSDUCTION, TCRPATHWAY, MAPKPATHWAY, APOPTOSIS_KEGG, HSA04920_ADIPOCYTOKINE_SIGNALING_PATHWAY, AKTPATHWAY, NTHIPATHWAY, HSA05222_SMALL_CELL_LUNG_CANCER, HSA04210_APOPTOSIS, ST_TUMOR_NECROSIS_FACTOR_PATHWAY, PPARAPATHWAY, KERATINOCYTEPATHWAY, DEATHPATHWAY, TIDPATHWAY, ST_B_CELL_ANTIGEN_RECEPTOR, FMLPPATHWAY, HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY, HSA05220_CHRONIC_MYELOID_LEUKEMIA, ATMPATHWAY, RELAPATHWAY, APOPTOSIS_GENMAPP, STRESSPATHWAY, NFKBPATHWAY, RACCYCDPATHWAY, PKCPATHWAY, TOLLPATHWAY, HSA05215_PROSTATE_CANCER, TNFR2PATHWAY, APOPTOSIS, EPONFKBPATHWAY, SIG_CD40PATHWAYMAP, RNAPATHWAY, ST_GAQ_PATHWAY, HSA04660_T_CELL_RECEPTOR_SIGNALING_PATHWAY, VIPPATHWAY, 41BBPATHWAY	<=0.00	44	regulation of sterol transport
RIPK1	HIVNEFPATHWAY, HSA04620_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY, SODDPATHWAY, RELAPATHWAY, APOPTOSIS_GENMAPP, STRESSPATHWAY, NFKBPATHWAY, MAPKPATHWAY, APOPTOSIS_KEGG, APOPTOSIS, TNFR2PATHWAY, ST_FAS_SIGNALING_PATHWAY, HSA04210_APOPTOSIS, P38MAPKPATHWAY, ST_TUMOR_NECROSIS_FACTOR_PATHWAY, TNFR1PATHWAY, CERAMIDEPATHWAY, KERATINOCYTEPATHWAY, DEATHPATHWAY	<=0.00	19	necrotic cell death
RRM1	PURINE_METABOLISM, HSA00230_PURINE_METABOLISM, PYRIMIDINE_METABOLISM, HSA00240_PYRIMIDINE_METABOLISM, NUCLEOTIDE_METABOLISM	>0.00	5	nucleotide metabolic process
ATP6V1F	FLAGELLAR_ASSEMBLY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, TYPE_III_SECRETION_SYSTEM, HSA00190_OXIDATIVE_PHOSPHORYLATION, OXIDATIVE_PHOSPHORYLATION, ATP_SYNTHESIS, PHOTOSYNTHESIS, HSA05110_CHOLERA_INFECTION	<=0.00	8	energy coupled proton transport, down electrochemical gradient
ATP6V1A	FLAGELLAR_ASSEMBLY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, TYPE_III_SECRETION_SYSTEM, HSA00190_OXIDATIVE_PHOSPHORYLATION, OXIDATIVE_PHOSPHORYLATION, ATP_SYNTHESIS, PHOTOSYNTHESIS, HSA05110_CHOLERA_INFECTION	<=0.00	8	energy coupled proton transport, down electrochemical gradient
DCK	PURINE_METABOLISM, HSA00230_PURINE_METABOLISM, HSA00240_PYRIMIDINE_METABOLISM, PYRIMIDINE_METABOLISM	>0.00	4	nucleotide metabolic process
CDC6	DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, HSA04110_CELL_CYCLE	>0.00	3	DNA replication
CDC7	DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, HSA04110_CELL_CYCLE	>0.00	3	DNA replication
SSTR4	HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION, PEPTIDE_GPCRS, GPCRDB_CLASS_A_RHODOPSIN_LIKE	<=0.00	3	peptide receptor activity, G-protein coupled
FBP1	HSA00030_PENTOSE_PHOSPHATE_PATHWAY, GLYCOLYSIS, HSA00710_CARBON_FIXATION, FRUCTOSE_AND_MANNOSE_METABOLISM, GLUCONEOGENESIS, HSA04910_INSULIN_SIGNALING_PATHWAY, PENTOSE_PHOSPHATE_PATHWAY, HSA00051_FRUCTOSE_AND_MANNOSE_METABOLISM, HSA00010_GLYCOLYSIS_AND_GLUCONEOGENESIS, CARBON_FIXATION, GLYCOLYSIS_AND_GLUCONEOGENESIS	<=0.00	11	fructose metabolic process
ARPC2	CDC42RACPATHWAY, ACTINYPATHWAY, HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON, SALMONELLAPATHWAY, RHOPATHWAY	<=0.00	5	regulation of actin filament polymerization
AVPR1B	HSA04080_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION, HSA04020_CALCIUM_SIGNALING_PATHWAY, PEPTIDE_GPCRS, GPCRDB_CLASS_A_RHODOPSIN_LIKE	<=0.00	4	peptide receptor activity, G-protein coupled
ITGB2	THELPERPATHWAY, CTLPATHWAY, HSA04514_CELL_ADHESION_MOLECULES, INTEGRIN_MEDIATED_CELL_ADHESION_KEGG, LAIRPATHWAY, LYMPHOCYTEPATHWAY, HSA04670_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION, HSA04810_REGULATION_OF_ACTIN_CYTOSKELETON, HSA04650_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY, BLYMPHOCYTEPATHWAY, TCYTOTOXICPATHWAY, MONOCYTEPATHWAY, NEUTROPHILPATHWAY	<=0.00	13	leukocyte adhesion
BLVRB	PORPHYRIN_AND_CHLOROPHYLL_METABOLISM, HSA00860_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM, IL10PATHWAY	<=0.00	3	oxidation reduction
BLVRA	PORPHYRIN_AND_CHLOROPHYLL_METABOLISM, HSA00860_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM, IL10PATHWAY	<=0.00	3	oxidation reduction
ATP6V0B	FLAGELLAR_ASSEMBLY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, TYPE_III_SECRETION_SYSTEM, HSA00190_OXIDATIVE_PHOSPHORYLATION, OXIDATIVE_PHOSPHORYLATION, ATP_SYNTHESIS, PHOTOSYNTHESIS, HSA05110_CHOLERA_INFECTION	<=0.00	8	energy coupled proton transport, down electrochemical gradient
ATP6V0C	FLAGELLAR_ASSEMBLY, HSA05120_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION, TYPE_III_SECRETION_SYSTEM, HSA00190_OXIDATIVE_PHOSPHORYLATION, OXIDATIVE_PHOSPHORYLATION, ATP_SYNTHESIS, PHOTOSYNTHESIS, HSA05110_CHOLERA_INFECTION	<=0.00	8	energy coupled proton transport, down electrochemical gradient
CSF2RA	HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION, HSA04640_HEMATOPOIETIC_CELL_LINEAGE, HSA04630_JAK_STAT_SIGNALING_PATHWAY	<=0.00	3	cytokine receptor activity
PCNA	G1_TO_S_CELL_CYCLE_REACTOME, DNA_REPLICATION_REACTOME, CELL_CYCLE_KEGG, P53PATHWAY, HSA04110_CELL_CYCLE	>0.00	5	DNA replication
ICAM1	THELPERPATHWAY, CTLPATHWAY, HSA04514_CELL_ADHESION_MOLECULES, HSA04670_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION, LYMPHOCYTEPATHWAY, LAIRPATHWAY, HSA04650_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY, BLYMPHOCYTEPATHWAY, TCYTOTOXICPATHWAY, MONOCYTEPATHWAY, NEUTROPHILPATHWAY	<=0.00	11	leukocyte adhesion
ALDOA	MTA3PATHWAY, HSA00030_PENTOSE_PHOSPHATE_PATHWAY, GLYCOLYSIS, HSA00710_CARBON_FIXATION, FRUCTOSE_AND_MANNOSE_METABOLISM, GLUCONEOGENESIS, PENTOSE_PHOSPHATE_PATHWAY, HSA00051_FRUCTOSE_AND_MANNOSE_METABOLISM, HSA00010_GLYCOLYSIS_AND_GLUCONEOGENESIS, GLYCOLYSIS_AND_GLUCONEOGENESIS, CARBON_FIXATION, INOSITOL_METABOLISM	<=0.00	12	fructose metabolic process
G6PD	HSA00030_PENTOSE_PHOSPHATE_PATHWAY, PENTOSE_PHOSPHATE_PATHWAY, HSA00480_GLUTATHIONE_METABOLISM, GLUTATHIONE_METABOLISM	<=0.00	4	pentose-phosphate shunt, oxidative branch
IDS	HSA00531_GLYCOSAMINOGLYCAN_DEGRADATION, GLYCOSAMINOGLYCAN_DEGRADATION, HSA01032_GLYCAN_STRUCTURES_DEGRADATION	<=0.00	3	sulfuric ester hydrolase activity
AARS	HSA00970_AMINOACYL_TRNA_BIOSYNTHESIS, ALANINE_AND_ASPARTATE_METABOLISM, HSA00252_ALANINE_AND_ASPARTATE_METABOLISM, AMINOACYL_TRNA_BIOSYNTHESIS	>0.00	4	tRNA aminoacylation for protein translation
