gene	t-test	articles	component name
HLA-DMA	<=0.00	11739502, 11180452, 12663675, 11337467, 10716924, 11956296, 8168144, 15547082, 8568858, 11775239, 8574855, 8849454, 16737583, 8890155, 9371817, 9879837, 17652306, 12858445, 11441095, 19115949, 10661406, 14754527, 12427289, 12794545, 1922365, 11070170, 1922385, 8084338, 9759843, 7602119, 18779172, 9551909, 8225438, 15547089, 11048639, 8026867, 12928384, 11881821, 18348411, 9311912, 9079699, 12786997, 12392850, 12477932, 11168931, 16864101, 7512597, 12742663, 10322421, 2846691, 16435885, 17015729, 1967269, 8376762, 15489916, 8947036, 9768757, 10729169, 3489470, 7541827, 10631952, 12648225, 2543930, 12728471, 11743588, 11118314, 8034636, 1978941, 15723810, 11827988, 1869305, 8139690	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
TRIM14	>0.00	18978678, 15164053, 14702039, 11331580, 12477932, 8590280, 15489334	nucleic acid binding
ZNF592	<=0.00	17081983, 14702039, 15302935, 9039502, 12477932, 15231748, 15489334	nucleic acid binding
RPLP1	<=0.00	12479870, 7821789, 16964243, 16097034, 14567916, 14729942, 3323886, 3197716, 16565220, 14997482, 18029348, 15489334, 16807684, 12054647, 12477932, 18422483, 11401437, 18675807, 16169070, 10856704, 17081983, 16094384, 15189156, 11277934, 8722009, 11875025	translational elongation
FVT1	<=0.00	15642098	cellular biopolymer catabolic process
MTMR11	<=0.00	14702039, 12495846, 18391951, 12477932, 16344560	nucleic acid binding
ARMCX6	>0.00	14702039, 17081983, 12477932, 15772651, 15489334	nucleic acid binding
KIAA0157	<=0.00	15642098	cellular biopolymer catabolic process
psiTPTE22	>0.00	14702039, 14659893, 2551777, 12477932	nucleic acid binding
ATP6V0D1	>0.00	8250920, 9442887, 14702039, 14597263, 11836511, 10340843, 12477932, 10221984, 2903164, 16713569, 9210392, 19165527, 10440860, 11118322, 10224039, 14580332, 8889548, 12788495, 15489334	energy coupled proton transport, down electrochemical gradient
MRPL3	>0.00	15064350, 17932292, 8879236, 2191628, 15489334, 17460045, 15964273, 16823961, 16720695, 2583083, 16367971, 16429126, 16507594, 12706105, 11025545, 11805826, 17200106, 16143836, 16143837, 10213627, 12392552, 18245340, 16554755, 10071206, 15303280, 16622701, 15642098, 15710683, 15710684, 15701785, 2891103, 8282737, 12000678, 8062839, 9169872, 12535521, 17535914, 12477932, 9482869, 10669795, 18719252, 8616232, 11094061, 15123810, 1741302, 15998802, 17040130, 11675593, 16452484, 16678168, 16476776, 7632918, 16170454, 2040309, 15450959, 15849308, 8849441, 15738400, 11543634, 11782532	cellular biopolymer metabolic process
RPS8	<=0.00	17932292, 8349573, 10806107, 1712897, 15068267, 8432552, 11983892, 10368186, 11790298, 8590479, 15995001, 15137946, 16143839, 16452484, 16143837, 15659633, 15635413, 11497999, 16284312, 15128875, 12588972, 15278455, 8374951, 15964273, 11805055, 17085511, 15883184, 16305752, 15190002, 11784321, 15710684, 8914534, 15489334, 15189156, 17460045, 8764399, 12658628, 12477932, 3614194, 15738400, 17220478, 12215522, 15123810, 11641281, 8543042, 15998802, 15235119, 7480339, 11445540, 8647391, 15514055, 2904436, 12140684, 15616584, 15450959, 15635096, 9582194, 11752390, 8722009, 8706699, 2779571, 15785851	structural molecule activity
PSMA2	>0.00	15489334, 16777052, 17353931, 14564014, 10983987, 15592455, 12719574, 16344560, 15029244, 12167863, 7966316, 9079628, 2025653, 9846577, 10436176, 11285280, 14528301, 14528300, 12809610, 15225636, 12791267, 12920286, 15642098, 7558012, 8125298, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 12446740, 12477932, 9811770, 9373149, 11205743, 8811196, 12859895, 12840737, 12690205, 12419264, 1888762, 14550573, 7811265, 14614829, 12808466, 12808465, 8635518, 12830140	cellular process
PSMA3	>0.00	18971267, 12379479, 16964243, 16305752, 17353931, 14564014, 14614829, 15592455, 12719574, 15029244, 12167863, 15831937, 9079628, 2025653, 9846577, 11285280, 14528301, 14528300, 16713569, 12809610, 15225636, 11341940, 12920286, 15642098, 9451443, 12750511, 12791267, 12914693, 12970355, 7857283, 18029348, 14527406, 10893419, 16130169, 12477932, 9811770, 11146632, 11205743, 8811196, 12859895, 12840737, 14557625, 16169070, 12419264, 8619999, 14674694, 17081983, 14550573, 7811265, 15302935, 12140684, 14702039, 12376572, 15231747, 12808466, 12808465, 14667819, 15489334, 11350925, 12830140	cellular process
PSMA1	>0.00	17353931, 14564014, 7681138, 12719574, 16344560, 15029244, 12167863, 9079628, 9497851, 2025653, 9846577, 10436176, 11285280, 1660345, 14528301, 14528300, 16713569, 12809610, 15225636, 12791267, 12920286, 12859895, 12419264, 12750511, 14557625, 12914693, 10068451, 12970355, 10799514, 14527406, 10893419, 12477932, 9811770, 1398136, 11205743, 8811196, 12840737, 10983987, 16169070, 9451443, 1888762, 14550573, 7811265, 16189514, 12150907, 1517242, 14614829, 12808466, 12808465, 9464850, 15489334, 12830140	cellular process
PSMA6	>0.00	7821789, 19282875, 19182073, 17353931, 14564014, 18358479, 18231128, 17555133, 10983987, 16845397, 12719574, 17384448, 15029244, 12167863, 9079628, 18158110, 9497851, 18157711, 9846577, 10436176, 11285280, 14528301, 14528300, 19336475, 12809610, 15225636, 12791267, 12920286, 12859895, 17535269, 9451443, 12750511, 14557625, 12914693, 11924531, 12970355, 14527406, 10893419, 12477932, 9811770, 11205743, 8618844, 8811196, 18029348, 12840737, 19056482, 16169070, 12419264, 1888762, 14681463, 19272601, 14550573, 7811265, 11771738, 9056411, 7681138, 14614829, 12808466, 12808465, 15489334, 12830140	cellular process
PSMA5	>0.00	16964243, 14564014, 12719574, 15029244, 12167863, 9079628, 9846577, 11285280, 16710414, 14528301, 14528300, 12809610, 15225636, 12791267, 16251969, 12920286, 15642098, 14499622, 8125298, 12750511, 10363657, 12914693, 12970355, 14527406, 10893419, 1286667, 9811770, 12477932, 9530635, 9373149, 11205743, 8811196, 12859895, 12840737, 14557625, 12419264, 1888762, 14681463, 16305752, 14550573, 7811265, 11771738, 15302935, 12140684, 14614829, 12808466, 12808465, 15489334, 15222312, 12830140	cellular process
RPL27	>0.00	17932292, 16367971, 1302024, 15964273, 16720695, 8148381, 11790298, 14567916, 15137946, 15635413, 14702039, 17085511, 16622701, 15710683, 15489334, 17460045, 12658628, 12477932, 11401437, 10964405, 1709488, 15998802, 15235119, 14633996, 1386535, 15189156, 15738400, 7545954, 8722009, 11875025, 7581362	translational elongation
PIG8	>0.00	15064350, 17932292, 8879236, 2191628, 15964273, 16720695, 2583083, 16367971, 16507594, 11025545, 16143836, 16143837, 10213627, 10071206, 16622701, 15710683, 15710684, 15701785, 8282737, 12000678, 8062839, 12535521, 17535914, 9482869, 10669795, 8616232, 11094061, 1741302, 15998802, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 2040309, 15450959, 15849308, 15738400, 11782532	cellular biopolymer metabolic process
HIP2	>0.00	15642098	cellular biopolymer catabolic process
RAB7	<=0.00	17334359, 9369203	cellular component organization
SRP9	>0.00	17932292, 16367971, 2153922, 3460413, 12556449, 15642098, 9210469, 9210468, 11815615, 16507594, 11598240, 15137946, 7518078, 15635413, 8616155, 9689144, 15155888, 9110174, 17085511, 10409631, 8344302, 11912227, 15710684, 7730321, 15489334, 6098820, 12775420, 12477932, 15448140, 9428676, 9428675, 15606760, 12846565, 8619474, 7493968, 10751409, 15998802, 11741988, 15047759, 10436225, 3468511, 10734091, 15450959, 18549262, 11089964, 8631873, 16344560	intracellular transport
TDRD9	>0.00	14702039, 19308021, 12477932	nucleic acid binding
RPL8	<=0.00	17932292, 11790298, 15964273, 14743216, 3614194, 12746537, 14567916, 15137946, 15147238, 7506540, 15235119, 15710684, 15701785, 15489334, 17460045, 12477932, 17535914, 15592455, 15635413, 8938407, 16169070, 15998802, 9531480, 9582194, 12962325, 15189156, 15738400, 8722009, 11875025, 10527430	translational elongation
RPL6	<=0.00	15064350, 17932292, 8879236, 7821789, 2191628, 11707324, 17460045, 15964273, 8479925, 16720695, 2583083, 16367971, 11043511, 16507594, 11025545, 15489334, 14567916, 11790298, 9529352, 11823430, 16143836, 16143837, 10213627, 10964405, 15635413, 10071206, 10895307, 9826564, 16622701, 16305752, 15710683, 15710684, 15701785, 8185817, 12678981, 8282737, 15121898, 7251593, 12000678, 8062839, 14743216, 12535521, 17535914, 12477932, 9482869, 10669795, 11401437, 10944468, 8616232, 11094061, 15189156, 6468376, 1741302, 16169070, 15998802, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 12140684, 8457378, 12962325, 2040309, 15450959, 15849308, 9582194, 15738400, 8722009, 11782532	cellular biopolymer metabolic process
RPL7	>0.00	17932292, 8441630, 16797011, 15964273, 3614194, 11790298, 12445392, 12746537, 17823931, 14567916, 15137946, 15147238, 15635413, 16169070, 15642098, 15235119, 15710684, 15701785, 15489334, 12401809, 17460045, 17535914, 12477932, 9373149, 8360149, 7862521, 16305752, 15592455, 7750987, 8938407, 12704204, 15998802, 8125298, 12140684, 9268371, 12962325, 18697920, 15189156, 9582194, 15738400, 17258209, 8722009, 17018643, 18366674, 10527430	translational elongation
PMS2L4	<=0.00	8586419, 12477932, 7980603, 16913423	ATP binding
PSME4	<=0.00	12093752, 14564014, 7584044, 12719574, 12167863, 9079628, 17523843, 9846577, 14527406, 14528301, 14528300, 12809610, 14557625, 12920286, 12859895, 12750511, 15489334, 12914693, 12970355, 10893419, 12477932, 9811770, 14614829, 15642098, 12840737, 12419264, 14550573, 12808466, 12808465, 16344560, 12830140	cellular process
TTC9	>0.00	18699990, 15489334, 16678794, 9039502, 12477932	nucleic acid binding
POLR2E	>0.00	16838299, 12642036, 14569024, 9488465, 2449431, 10866664, 12221105, 10931842, 7828586, 8800208, 8946909, 12379213, 8637904, 10617616, 10698937, 12477932, 19237606, 12226669, 2753903, 10536359, 10545121, 12391170, 10066804, 12114499, 10567706, 14743216, 14615539, 8676484, 9184228, 1939271, 16289656, 10757782, 15635413, 10725406, 2190099, 10329125, 10438593, 10958691, 9696809, 9874563, 12634356, 8876177, 12887902, 10069959, 12676794, 11809800, 8910388, 8034326, 9054383, 9121429, 7853496, 9405375, 11790298, 9311822, 9201987, 7638159, 15057824, 12089333, 9765201, 9334327, 14702039, 8934526, 10704353, 1559613, 10373521, 9409616, 10784442, 9570510, 11112772, 9651670, 12775419, 11547919, 12049628, 12393188, 9790902, 15175163, 11278533, 9315662, 9512541, 8849451, 9491887, 12126615, 10359081, 15489334, 11080476, 2071613, 17168834, 10364292, 10393184, 12052871, 16169872	RNA polymerase activity
POLR2G	>0.00	16838299, 12642036, 14569024, 9488465, 2449431, 10866664, 12221105, 10931842, 10777215, 16305752, 8800208, 8946909, 12379213, 8637904, 10617616, 10698937, 12477932, 12226669, 10536359, 10545121, 10066804, 12114499, 10567706, 12912922, 8676484, 9184228, 1939271, 16289656, 10757782, 17168834, 10725406, 2190099, 10329125, 10438593, 10958691, 9696809, 9874563, 12634356, 8876177, 12887902, 10069959, 12676794, 16282592, 11809800, 8910388, 9256063, 9054383, 12140684, 9121429, 7853496, 9405375, 9311822, 9201987, 7638159, 12089333, 9765201, 9334327, 8934526, 10704353, 17848138, 1559613, 10373521, 9409616, 10784442, 9570510, 14667819, 7579693, 11112772, 9651670, 16327806, 12775419, 11547919, 12049628, 9790902, 15175163, 9315662, 9512541, 8849451, 9491887, 12126615, 10359081, 15489334, 11080476, 9528765, 9704926, 10364292, 10393184, 12052871	RNA polymerase activity
POLR2F	>0.00	16838299, 12642036, 14569024, 10438593, 2449431, 10866664, 18505059, 12221105, 10931842, 18029348, 8800208, 8946909, 10902924, 12379213, 8637904, 10617616, 10698937, 12477932, 19237606, 7803819, 12226669, 10393248, 10536359, 10545121, 12391170, 10066804, 12114499, 8676484, 9184228, 1939271, 16289656, 10757782, 17168834, 10725406, 8786150, 2190099, 10329125, 10958691, 10542096, 9696809, 9874563, 12634356, 8876177, 12887902, 10069959, 12676794, 11809800, 8910388, 9054383, 10591208, 9121429, 7853496, 9405375, 9311822, 9201987, 7638159, 12089333, 9765201, 9334327, 14702039, 10623476, 8934526, 10704353, 1559613, 10373521, 9409616, 10784442, 9570510, 11112772, 9651670, 16344560, 12775419, 11547919, 12049628, 9790902, 15175163, 9315662, 9512541, 8849451, 9491887, 12126615, 10359081, 15489334, 11080476, 15461802, 10364292, 10393184, 12052871	RNA polymerase activity
POLR2B	>0.00	17583472, 17584298, 16838299, 12642036, 14569024, 14992727, 10438593, 2449431, 9311822, 12221105, 10931842, 15670829, 8800208, 8946909, 12379213, 8637904, 10617616, 10698937, 12477932, 19237606, 17494052, 12226669, 15642098, 8619474, 10536359, 10545121, 10066804, 9765201, 17353931, 10567706, 8676484, 9184228, 1939271, 16289656, 17499043, 10757782, 17168834, 10725406, 2190099, 10329125, 10958691, 10866664, 9696809, 9874563, 12634356, 8876177, 12887902, 10069959, 12676794, 11809800, 8910388, 8034326, 9054383, 9121429, 7853496, 9405375, 2320128, 9201987, 7638159, 12089333, 12114499, 9334327, 8934526, 10704353, 15886393, 12050112, 1559613, 10373521, 9409616, 10784442, 9570510, 11112772, 9651670, 12775419, 11547919, 12049628, 18270511, 9790902, 15175163, 9315662, 9512541, 1518060, 9110174, 9491887, 12126615, 10359081, 15489334, 11080476, 10364292, 10393184, 15282305, 12052871, 8849451	RNA polymerase activity
POLR2K	>0.00	12114499, 15235609, 9311822, 10931842, 9201987, 7638159, 12089333, 12676794, 12379213, 10704353, 12213660, 12049628, 8676484, 10567706, 9790902, 12634356, 9184228, 1939271, 12226669, 10438593, 2449431, 9765201, 9334327, 9315662, 7651387, 10725406, 9512541, 1403646, 2190099, 8934526, 16838299, 10329125, 9491887, 12221105, 10373521, 12646563, 10359081, 12393749, 10866664, 8800208, 8946909, 15489334, 1559613, 9696809, 17714821, 11547919, 9874563, 8637904, 11080476, 10617616, 10698937, 8876177, 9409616, 12477932, 11809800, 10757782, 10069959, 12126615, 10958691, 17168834, 10364292, 19237606, 11112772, 8910388, 10393184, 10536359, 14569024, 9651670, 15175163, 9582279, 10784442, 12642036, 12887902, 9054383, 10545121, 12052871, 12775419, 9570510, 12391170, 9121429, 7853496, 9405375, 8849451, 10066804	RNA polymerase activity
POLR2J	>0.00	12114499, 9311822, 10931842, 9201987, 7638159, 12089333, 12379213, 10704353, 12676794, 12049628, 8676484, 8797801, 12634356, 9184228, 1939271, 12226669, 10438593, 2449431, 9765201, 9334327, 9315662, 17168834, 10725406, 9512541, 2190099, 8934526, 15586814, 10329125, 9491887, 12221105, 9607318, 10373521, 12853948, 10359081, 10866664, 8800208, 8946909, 15489334, 1559613, 9696809, 11547919, 9874563, 8637904, 12036295, 11080476, 10617616, 10698937, 8876177, 9409616, 12477932, 9790902, 11809800, 10757782, 16341674, 10069959, 12126615, 10958691, 10364292, 19237606, 11112772, 8910388, 10393184, 10536359, 16838299, 10783144, 9651670, 15175163, 16289656, 10784442, 12642036, 12887902, 9054383, 10545121, 12052871, 12775419, 9570510, 9121429, 14569024, 7853496, 9405375, 12207009, 8849451, 10066804	RNA polymerase activity
RER1	<=0.00	17932292, 16367971, 15489334, 3460413, 14988731, 12556449, 15642098, 9210469, 9210468, 17668005, 11815615, 16507594, 12972550, 11598240, 14764870, 15137946, 12872131, 1574125, 14702039, 8616155, 9689144, 15155888, 17085511, 16269340, 10409631, 8344302, 16618929, 11912227, 15710684, 17908202, 15123810, 14699055, 6098820, 11238450, 16107716, 11157978, 12477932, 15448140, 9428676, 9428675, 15606760, 12846565, 17932044, 7493968, 16169070, 10751409, 15998802, 11741988, 8707815, 15047759, 11792827, 10436225, 3468511, 18676811, 10734091, 15450959, 8849441, 9309388, 8631873, 12766230	intracellular transport
GML	>0.00	8934543, 12477932, 9169150, 15489334	nucleic acid binding
C4orf6	<=0.00	15489334, 18454448, 8889548, 9016955, 12477932	nucleic acid binding
PSMB7	>0.00	18549262, 15489334, 17416745, 14564014, 8666937, 15592455, 12719574, 15029244, 12167863, 9079628, 18462727, 9846577, 10436176, 11285280, 18768472, 14528301, 14528300, 12594202, 12809610, 12791267, 10384092, 12920286, 12859895, 8125298, 12750511, 14557625, 12914693, 12970355, 14527406, 18378283, 10893419, 12477932, 9811770, 9373149, 11205743, 11295498, 12840737, 12419264, 14550573, 7811265, 14702039, 14614829, 12808466, 12808465, 12830140, 8811196	cellular process
PSMB6	>0.00	12914693, 14564014, 12719574, 15029244, 12167863, 9079628, 9846577, 10436176, 11285280, 14528301, 14528300, 12809610, 12791267, 12920286, 12859895, 14681463, 12750511, 14557625, 12388758, 12970355, 15679890, 14527406, 10893419, 2306472, 9811770, 12477932, 11205743, 8811196, 12840737, 16169070, 12419264, 1888762, 14550573, 8066462, 7811265, 14614829, 12808466, 12808465, 15489334, 15222312, 12830140	cellular process
PSMB4	>0.00	8013624, 15489334, 14564014, 7918633, 15592455, 12719574, 15029244, 12167863, 11438941, 9079628, 9846577, 10436176, 11285280, 14528301, 14528300, 12809610, 12791267, 12920286, 12859895, 9344661, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 16130169, 1286667, 9811770, 2306472, 11205743, 8811196, 18029348, 12840737, 18504423, 12419264, 9344905, 14550573, 12097147, 7811265, 12477932, 14614829, 12808466, 12808465, 15231748, 12830140	cellular process
PSMB3	>0.00	17353931, 14564014, 7918633, 12719574, 12015144, 15029244, 12167863, 9079628, 9846577, 10436176, 11285280, 14528301, 14528300, 12809610, 12791267, 12920286, 12859895, 9344661, 12750511, 14557625, 12914693, 12970355, 15679890, 14527406, 10893419, 1286667, 9811770, 12477932, 11205743, 8811196, 12840737, 12419264, 1510924, 14550573, 7811265, 14614829, 12808466, 12808465, 15489334, 15222312, 12830140	cellular process
PSMB1	<=0.00	17353931, 14564014, 15342556, 12719574, 14574404, 15029244, 12167863, 7966316, 9079628, 2025653, 9846577, 10436176, 11285280, 14528301, 14528300, 12809610, 12791267, 15848047, 12920286, 12859895, 15194198, 7558012, 8125298, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 2306472, 9811770, 12477932, 9373149, 11205743, 12525704, 8811196, 12840737, 12419264, 14499622, 14550573, 7811265, 14702039, 14614829, 15231747, 12808466, 12808465, 15489334, 12830140	cellular process
ZNF137	<=0.00	7557990, 12477932, 15489334	nucleic acid binding
ANKRD46	>0.00	14702039, 8619474, 9110174, 12477932, 15489334	nucleic acid binding
HIST1H2AI	>0.00	9566873, 12408966, 11080476, 10064132, 12477932, 14657027, 9439656, 11689053	nucleosome assembly
HIST1H2AD	>0.00	9566873, 12408966, 11080476, 12477932, 9119399, 14657027, 10384058, 9439656, 11689053	nucleosome assembly
HIST1H2AC	>0.00	16319397, 9566873, 15635413, 16702407, 16359901, 12408966, 11080476, 15010469, 12477932, 16457589, 15386022, 9119399, 14657027, 9149941, 15823041, 9439656, 15489334, 15078818, 11689053	nucleosome assembly
HD	<=0.00	15875012	cellular biosynthetic process
RPL35	<=0.00	15064350, 17932292, 8879236, 7821789, 2191628, 15489334, 17460045, 15964273, 17353931, 16720695, 2583083, 16367971, 16507594, 11025545, 14567916, 16143836, 16143837, 10213627, 15635413, 15164053, 10071206, 16622701, 18029348, 15710683, 15710684, 15701785, 2891103, 8282737, 15189156, 12000678, 8062839, 14743216, 12535521, 17535914, 12477932, 9482869, 8076819, 10669795, 11401437, 16341674, 8672129, 8616232, 11094061, 1741302, 18523488, 15998802, 14681463, 11913794, 17040130, 11675593, 16452484, 16678168, 7632918, 16170454, 12962325, 2040309, 15450959, 15849308, 15738400, 8722009, 11782532	cellular biopolymer metabolic process
RPL31	<=0.00	17932292, 7821789, 2597680, 15964273, 17353931, 15579683, 16507594, 11790298, 11469597, 14567916, 17351118, 15563613, 2780320, 12962325, 17085511, 8000007, 15146197, 11746496, 15710684, 12826625, 15489334, 15815621, 15189156, 17460045, 12477932, 11641402, 15592455, 15470259, 8889548, 16262695, 15998802, 11454753, 17081983, 16189514, 9582194, 11866526, 16307308, 15450959, 15849308, 15738400, 8722009, 11875025, 16344560	translational elongation
SMARCC1	>0.00	19367581, 19156145, 8804307, 15302935, 10943845, 17513758, 14966121, 9693044, 9590696, 9891079, 10078207, 11078522, 12665591, 18581278, 15489334, 11950834, 14743216, 10619021, 11013263, 15144186, 12477932, 11784859, 16083285, 11734557, 9744861, 9845365, 11726552, 8889548, 11018012, 12917342, 17081983, 16568092, 11238380, 9710619, 16199878, 12244326, 8895581, 14530271, 12837248	chromatin remodeling
HMGN4	>0.00	12477932, 14574404, 9149941, 15489334, 11410162, 16344560	nucleic acid binding
SDF2	>0.00	16618929, 15489334, 8918255, 12477932	nucleic acid binding
TAF1A	>0.00	10913176, 16710414, 11250901, 14702039, 9582279, 19246067, 15113842, 11163245, 15723054, 12477932, 15226435, 8013460, 11250903, 12646563, 12393749, 7801123, 10894955, 15489334	transcription regulator activity
DRP2	<=0.00	17932292, 16367971, 8640231, 15068267, 7798310, 16798888, 16507594, 11744727, 7992056, 16497834, 15858820, 8668172, 16143836, 16143837, 14702039, 11087734, 15964273, 16143838, 15143209, 17085511, 12671093, 11430802, 15235119, 15710684, 15701785, 16678098, 12951196, 10767429, 15657081, 16170454, 16854501, 12535521, 12477932, 9482869, 9395399, 15849308, 12228605, 11593046, 18401567, 10648596, 15998802, 15123830, 15027329, 14615590, 1721866, 15837918, 17105906, 7894023, 17233888, 15450959, 12407204, 15738400, 12679234, 17044845	synapse organization
TRBV21-1	>0.00	8650574, 14702039, 12477932	nucleic acid binding
HIST1H3H	>0.00	9566873, 16189514, 12408966, 11080476, 12477932, 14657027, 9439656, 11689053	nucleosome assembly
MKRN3	<=0.00	10196367, 16344560, 12477932, 15489334	nucleic acid binding
POLR2H	>0.00	16838299, 12642036, 14569024, 10438593, 2449431, 10866664, 3754875, 16632472, 12221105, 10931842, 8800208, 8946909, 12379213, 8637904, 10617616, 10698937, 12477932, 19237606, 12226669, 10536359, 10545121, 12391170, 10066804, 12114499, 17353931, 10567706, 14743216, 8676484, 9184228, 1939271, 10757782, 17168834, 10725406, 2190099, 10329125, 10958691, 9696809, 9874563, 12634356, 8876177, 12887902, 10069959, 12676794, 11809800, 8910388, 8524256, 9582279, 9054383, 9121429, 7853496, 9405375, 11790298, 9311822, 9201987, 7638159, 12089333, 9765201, 9334327, 10364292, 8934526, 10704353, 1559613, 10373521, 9409616, 10784442, 9570510, 11112772, 9651670, 12646563, 12775419, 11547919, 12049628, 9790902, 15175163, 9315662, 9512541, 1403646, 8849451, 9491887, 12126615, 10359081, 12393749, 15489334, 11080476, 7651387, 15635413, 10393184, 12052871	RNA polymerase activity
KIAA0146	<=0.00	14702039, 12477932, 8590280, 15858003, 15489334, 15502879	nucleic acid binding
MAGEA9	>0.00	12477932, 9147653, 10521804, 11211869, 7927540, 15900605, 8575766, 15489334	""
SLC17A2	<=0.00	14574404, 12477932, 9149941	nucleic acid binding
DGCR11	<=0.00	8776594	""
DDX18	>0.00	8861962, 14702039, 12665801, 12477932, 18351129, 15489334	nucleic acid binding
PSMC1	>0.00	10625621, 15358861, 17353931, 14564014, 18701681, 14743216, 10970867, 12719574, 15029244, 15489334, 12167863, 9079628, 9846577, 11285280, 14528301, 14528300, 11361004, 12809610, 12791267, 12920286, 12859895, 8125298, 18247114, 12750511, 14557625, 12914693, 12970355, 14527406, 10893419, 16305752, 12477932, 9811770, 15144186, 9373149, 14614829, 8811196, 14578856, 18029348, 12840737, 1429620, 12419264, 8806779, 9452483, 10748218, 16189514, 9473509, 11734547, 12140684, 14702039, 12808466, 12808465, 12830140, 14550573, 6188845	cellular process
PSMC2	>0.00	10625621, 15489334, 17353931, 14564014, 12665801, 14743216, 7711076, 11734547, 15029244, 12167863, 9079628, 9295362, 9846577, 14527406, 11285280, 10409732, 14528301, 14528300, 11118327, 11118325, 11361004, 12809610, 12791267, 12853948, 15642098, 12970176, 15340068, 12750511, 1377363, 12914693, 12970355, 12808466, 10893419, 16130169, 12477932, 9811770, 12920286, 14614829, 8811196, 14557625, 12859895, 12840737, 12690205, 16169070, 12419264, 8247132, 15231748, 16305752, 14550573, 16189514, 17220478, 9473509, 12719574, 12140684, 1602151, 12808465, 16236267, 8500623, 12830140	cellular process
